formula,processing,structure_type,test_temp_C,Al_at_pct,Co_at_pct,Cr_at_pct,Cu_at_pct,Fe_at_pct,Mn_at_pct,Ni_at_pct,Ti_at_pct,V_at_pct,Zr_at_pct,Nb_at_pct,Mo_at_pct,W_at_pct,Hf_at_pct,Ta_at_pct,Si_at_pct,hardness_HV,density_calc,grain_size_um,yield_strength_MPa,uts_MPa,elongation_pct,young_modulus_calc_GPa
Al0.5 Nb1 Ta0.5 Ti1 Zr1,WROUGHT,other,25.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,25.0,25.0,0.0,0.0,0.0,12.5,0.0,,7.3,,2100.0,,12.0,
Al0.5 Nb1 Ta0.5 Ti1 Zr1,WROUGHT,other,25.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,25.0,25.0,0.0,0.0,0.0,12.5,0.0,,7.3,,1740.0,,20.0,
Al0.5 Nb1 Ta0.5 Ti1 Zr1,WROUGHT,other,25.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,25.0,25.0,0.0,0.0,0.0,12.5,0.0,,7.3,,1630.0,,12.0,
Mo1 Nb1 Ta1 W1,POWDER,BCC,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,25.0,0.0,25.0,0.0,504.5,13.7,,1217.0,,7.5,250.0
Mo1 Nb1 Si0.25 Ta1 W1,POWDER,other,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.53,23.53,23.53,0.0,23.53,5.88,567.0,12.9,,1826.0,,16.5,
Mo1 Nb1 Si0.5 Ta1 W1,POWDER,other,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.22,22.22,22.22,0.0,22.22,11.11,697.0,12.2,,1883.0,,11.0,
Mo1 Nb1 Si0.75 Ta1 W1,POWDER,other,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.05,21.05,21.05,0.0,21.05,15.79,682.6,11.6,,2483.0,,6.2,
Co1 Cr1 Fe1 Mn1 Ni1,WROUGHT,FCC,25.0,0.0,20.0,20.0,0.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.0,,1199.26,1335.35,4.37,220.0
Co1 Cr1 Fe1 Mn1 Ni1,WROUGHT,FCC,25.0,0.0,20.0,20.0,0.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.0,,1269.23,1366.3,1.16,220.0
Co1 Cr1 Fe1 Mn1 Ni1,WROUGHT,FCC,25.0,0.0,20.0,20.0,0.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.0,,1371.21,1402.83,1.58,220.0
