formula,processing,structure_type,test_temp_C,Al_at_pct,Co_at_pct,Cr_at_pct,Cu_at_pct,Fe_at_pct,Mn_at_pct,Ni_at_pct,Ti_at_pct,V_at_pct,Zr_at_pct,Nb_at_pct,Mo_at_pct,W_at_pct,Hf_at_pct,Ta_at_pct,Si_at_pct,hardness_HV,density_calc,grain_size_um,yield_strength_MPa,uts_MPa,elongation_pct,young_modulus_calc_GPa
Al1 Cr1 Cu1 Fe1 Mn1 W0.5,POWDER,other,25.0,18.18,0.0,18.18,18.18,18.18,18.18,0.0,0.0,0.0,0.0,0.0,0.0,9.09,0.0,0.0,0.0,780.0,7.9,,1510.0,,,
Co0.2 Cu0.2 Fe0.2 Nb1 Ni0.2,WROUGHT,other,25.0,0.0,11.11,0.0,11.11,11.11,0.0,11.11,0.0,0.0,0.0,55.56,0.0,0.0,0.0,0.0,0.0,,8.6,,1498.0,,37.6,
Co0.133 Cu0.133 Fe0.133 Nb1 Ni0.133,WROUGHT,other,25.0,0.0,8.68,0.0,8.68,8.68,0.0,8.68,0.0,0.0,0.0,65.27,0.0,0.0,0.0,0.0,0.0,,8.6,,1635.0,,31.7,
Co0.086 Cu0.086 Fe0.086 Nb1 Ni0.086,WROUGHT,other,25.0,0.0,6.4,0.0,6.4,6.4,0.0,6.4,0.0,0.0,0.0,74.4,0.0,0.0,0.0,0.0,0.0,,8.6,,1703.0,,18.3,
Co0.067 Cu0.067 Fe0.067 Nb1 Ni0.067,WROUGHT,other,25.0,0.0,5.28,0.0,5.28,5.28,0.0,5.28,0.0,0.0,0.0,78.86,0.0,0.0,0.0,0.0,0.0,,8.6,,1415.0,,12.6,
Al0.186 Cr0.149 Fe1 Mn0.861 Ni0.28,CAST,other,25.0,7.51,0.0,6.02,0.0,40.39,34.77,11.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7.3,,159.0,535.0,,
Al0.186 Cr0.149 Fe1 Mn0.861 Ni0.28,ANNEAL,other,25.0,7.51,0.0,6.02,0.0,40.39,34.77,11.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7.3,,409.0,584.0,,
Al0.186 Cr0.149 Fe1 Mn0.861 Ni0.28,CAST,other,25.0,7.51,0.0,6.02,0.0,40.39,34.77,11.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7.3,,355.0,1174.0,,
Al0.186 Cr0.149 Fe1 Mn0.861 Ni0.28,ANNEAL,other,25.0,7.51,0.0,6.02,0.0,40.39,34.77,11.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7.3,,954.0,978.0,,
Hf1 Ti1 Zr1,CAST,other,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,33.33,0.0,0.0,0.0,33.33,0.0,0.0,211.0,8.3,,773.0,,17.0,
Hf1 Sc1 Ti1 Zr1,CAST,other,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,33.33,0.0,0.0,0.0,33.33,0.0,0.0,233.0,6.8,,1001.0,,21.9,
Hf1 Ti1 Y1 Zr1,CAST,other,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,33.33,0.0,0.0,0.0,33.33,0.0,0.0,241.0,7.0,,554.0,,17.7,
Hf1 Sc1 Ti1 Y1 Zr1,CAST,other,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,33.33,0.0,0.0,0.0,33.33,0.0,0.0,256.0,6.2,,793.0,,15.7,
Al0.562 Co0.938 Cr0.312 Fe0.312 Ni1,CAST,other,25.0,17.99,30.03,9.99,0.0,9.99,0.0,32.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.4,7.1,,1129.4,,16.7,
Al0.581 Co0.968 Cr0.323 Fe0.323 Mo0.032 Ni1,CAST,other,25.0,18.0,30.0,10.01,0.0,10.01,0.0,30.99,0.0,0.0,0.0,0.0,0.99,0.0,0.0,0.0,0.0,357.3,7.1,,1159.7,,18.2,
Al0.6 Co1 Cr0.333 Fe0.333 Mo0.067 Ni1,CAST,other,25.0,18.0,30.0,9.99,0.0,9.99,0.0,30.0,0.0,0.0,0.0,0.0,2.01,0.0,0.0,0.0,0.0,362.6,7.1,,1250.8,,14.7,
Al0.6 Co1 Cr0.333 Fe0.333 Mo0.1 Ni0.967,CAST,other,25.0,18.0,30.0,9.99,0.0,9.99,0.0,29.01,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,359.7,7.2,,1198.3,,14.5,
Co1 Cr1 Cu1 Fe1 Ni1,CAST,FCC,25.0,0.0,20.0,20.0,20.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.3,,300.0,,50.2,206.0
Co1 Cr1 Cu1 Fe1 Ni1 V0.042,CAST,other,25.0,0.0,19.83,19.83,19.83,19.83,0.0,19.83,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.3,,303.0,,50.2,
Co1 Cr1 Cu1 Fe1 Ni1 V0.087,CAST,other,25.0,0.0,19.66,19.66,19.66,19.66,0.0,19.66,0.0,1.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.3,,307.0,,50.2,
Co1 Cr1 Cu1 Fe1 Ni1 V0.136,CAST,other,25.0,0.0,19.47,19.47,19.47,19.47,0.0,19.47,0.0,2.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.3,,330.0,,50.2,
Co1 Cr1 Cu1 Fe1 Ni1 V0.19,CAST,other,25.0,0.0,19.27,19.27,19.27,19.27,0.0,19.27,0.0,3.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,8.2,,616.0,,28.0,
Co1 Cr1 Cu1 Ni1 Zn1,POWDER,other,25.0,0.0,25.0,25.0,25.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,615.0,8.1,500.0,2121.0,,,
Hf1 Nb1 Ta1 Ti1 Zr1,CAST,BCC,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,20.0,0.0,0.0,20.0,20.0,0.0,359.0,9.9,500.0,1155.0,1212.0,12.3,107.0
Nb1 Ta1 Ti1 Zr1,CAST,BCC,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,25.0,25.0,0.0,0.0,0.0,25.0,0.0,358.0,8.9,500.0,1144.0,1205.0,6.4,115.0
Nb1 Ta1 Ti1,CAST,BCC,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,33.33,0.0,0.0,0.0,33.33,0.0,246.0,10.0,500.0,620.0,683.0,18.5,136.0
Ta1 Ti1 Zr1,CAST,other,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,33.33,0.0,0.0,0.0,0.0,33.33,0.0,485.0,9.0,500.0,,284.0,0.0,
Nb1 Ti1 Zr1,CAST,BCC,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,33.33,33.33,0.0,0.0,0.0,0.0,0.0,295.0,6.5,500.0,956.0,991.0,14.2,94.0
Nb1 Ta0.667 Ti0.667 Zr0.333,CAST,other,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.01,0.0,12.49,37.5,0.0,0.0,0.0,25.01,0.0,294.0,9.2,500.0,822.0,852.0,0.33,
Nb0.333 Ta0.667 Ti0.667 Zr1,CAST,other,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.01,0.0,37.5,12.49,0.0,0.0,0.0,25.01,0.0,489.0,8.6,500.0,,843.0,0.0,
Co1 Cr1 Fe1 Mn1 Ni1,POWDER,other,25.0,0.0,20.0,20.0,0.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,435.0,8.0,0.03,1100.0,,47.0,
Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,CAST,BCC,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,0.0,16.67,16.67,16.67,0.0,16.67,16.67,0.0,,9.9,,1512.0,,12.0,137.0
Hf1 Mo1 Ta1 Ti1 Zr1,CAST,BCC,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,20.0,0.0,,10.2,,1600.0,,4.0,143.0
Hf1 Mo1 Nb1 Ti1 Zr1,CAST,BCC,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,20.0,20.0,0.0,20.0,0.0,0.0,,8.7,,1351.0,,20.0,128.0
Hf1 Mo1 Nb1 Ta1 Zr1,CAST,BCC,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,20.0,0.0,20.0,20.0,0.0,,10.9,,1524.0,,16.0,141.0
Hf1 Mo1 Nb1 Ta1 Ti1,CAST,BCC,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,20.0,0.0,20.0,20.0,0.0,,10.8,,1369.0,,27.0,155.0
Al0.267 Co1 Cr0.667 Fe0.667 Ni0.667 Ti0.2,POWDER,other,25.0,7.7,28.84,19.23,0.0,19.23,0.0,19.23,5.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,515.0,7.3,,2012.0,,,
Hf1 Nb1 Ta1 Ti1 Zr1,OTHER,BCC,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,20.0,0.0,0.0,20.0,20.0,0.0,,9.9,,1438.0,,,107.0
Hf1 Nb1 Ta1 Ti1 Zr1,OTHER,BCC,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,20.0,0.0,0.0,20.0,20.0,0.0,,9.9,,1159.0,,,107.0
Hf1 Nb1 Ta1 Ti1 Zr1,OTHER,BCC,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,20.0,0.0,0.0,20.0,20.0,0.0,,9.9,,1134.0,,,107.0
Hf1 Nb1 Ta1 Ti1 Zr1,OTHER,BCC,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,20.0,0.0,0.0,20.0,20.0,0.0,,9.9,,1094.0,,,107.0
Hf1 Nb1 Ta1 Ti1 Zr1,OTHER,BCC,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,20.0,0.0,0.0,20.0,20.0,0.0,,9.9,,1071.0,,,107.0
Hf1 Nb1 Ta1 Ti1 Zr1,OTHER,BCC,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,20.0,0.0,0.0,20.0,20.0,0.0,,9.9,24.4,1107.0,,,107.0
Hf1 Nb1 Ta1 Ti1 Zr1,OTHER,BCC,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,20.0,0.0,0.0,20.0,20.0,0.0,,9.9,31.3,1115.0,,,107.0
Hf1 Nb1 Ta1 Ti1 Zr1,OTHER,BCC,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,20.0,0.0,0.0,20.0,20.0,0.0,,9.9,38.4,1114.0,,,107.0
Al1 Nb1 Ti1 Zr1,CAST,other,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,422.0,5.7,250.0,1509.0,,8.6,
Al1 Nb1 Ti1 Zr1,ANNEAL,other,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,418.0,5.7,,1579.0,,17.8,
Al1 Nb1 Ti1 V1 Zr0.5,,other,25.0,22.22,0.0,0.0,0.0,0.0,0.0,0.0,22.22,22.22,11.11,22.22,0.0,0.0,0.0,0.0,0.0,,5.6,,1480.0,,50.0,
Al1 Nb1 Ti1 Zr1,,other,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,539.6,5.7,,1080.0,,5.9,
Nb1 Ti1 V1 Zr1,,other,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,335.0,6.5,,1105.0,,50.0,
Cr1 Nb1 Ti1 Zr1,,other,25.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,25.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,418.0,6.6,,1260.0,,6.0,
Al1 Cr1 Fe1 Mo0.5 Ni1,CAST,other,25.0,22.22,0.0,22.22,0.0,22.22,0.0,22.22,0.0,0.0,0.0,0.0,11.11,0.0,0.0,0.0,0.0,623.7,6.8,,1914.1,4023.6,,
Al1 Cr1 Fe1 Mo0.5 Ni1 Ti0.25,CAST,other,25.0,21.05,0.0,21.05,0.0,21.05,0.0,21.05,5.26,0.0,0.0,0.0,10.53,0.0,0.0,0.0,0.0,712.0,6.6,,2161.7,3641.5,,
Al1 Cr1 Fe1 Mo0.5 Ni1 Ti0.4,CAST,other,25.0,20.41,0.0,20.41,0.0,20.41,0.0,20.41,8.16,0.0,0.0,0.0,10.2,0.0,0.0,0.0,0.0,731.9,6.5,,2185.1,3673.4,,
Al1 Cr1 Fe1 Mo0.5 Ni1 Ti0.5,CAST,other,25.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,751.7,6.5,,2228.7,3166.2,,
Al1 Cr1 Fe1 Mo0.5 Ni1 Ti0.6,CAST,other,25.0,19.61,0.0,19.61,0.0,19.61,0.0,19.61,11.76,0.0,0.0,0.0,9.8,0.0,0.0,0.0,0.0,756.1,6.4,,1314.5,1314.5,,
Al1 Cr1 Fe1 Mo0.5 Ni1 Ti0.75,CAST,other,25.0,19.05,0.0,19.05,0.0,19.05,0.0,19.05,14.29,0.0,0.0,0.0,9.52,0.0,0.0,0.0,0.0,766.2,6.4,,618.8,618.8,,
